destination,days,trip_type,travelers,total_cost,transport_cost,accommodation_cost,food_cost,activities_cost
Hong Kong,15,Standard,3,7551.76,2093.28,2474.21,1896.4,1087.88
Berlin,19,Budget,4,4666.14,1014.74,1843.11,1077.05,731.25
Barcelona,20,Standard,2,4548.59,804.44,2008.6,1043.67,691.88
Delhi,16,Budget,5,3677.61,983.44,1562.9,947.38,183.88
Mumbai,16,Standard,5,6448.04,2073.28,2224.06,1828.3,322.4
Prague,19,Budget,3,2184.48,674.19,919.14,406.96,184.19
Bangkok,18,Budget,4,2189.61,519.81,807.34,352.44,510.02
Singapore,8,Standard,4,5132.76,1621.33,2034.75,1043.27,433.42
Bangalore,13,Luxury,5,10533.23,3208.61,3286.37,1946.6,2091.65
Berlin,19,Luxury,3,13027.91,4137.89,4872.02,3366.62,651.4
Prague,7,Budget,2,642.34,167.26,263.97,100.79,110.32
Amsterdam,10,Standard,3,5357.03,1075.5,1602.62,1127.2,1551.72
Prague,15,Budget,2,2286.57,563.21,862.24,374.1,487.02
New York,19,Luxury,3,17795.15,3649.96,6662.65,5318.37,2164.18
Agra,20,Budget,4,1758.81,600.22,491.83,443.1,223.66
Barcelona,6,Budget,5,2335.02,686.1,846.83,499.99,302.1
Prague,15,Standard,4,6112.13,1950.81,2018.16,1616.45,526.72
Kuala Lumpur,17,Standard,2,2325.66,444.05,856.37,413.78,611.46
Kerala,16,Luxury,4,8118.62,1697.18,3457.71,1777.98,1185.74
Delhi,10,Luxury,5,8454.41,2497.01,3422.19,1715.32,819.9
London,4,Luxury,1,1163.94,242.11,507.71,243.0,171.12
Bali,11,Standard,1,982.75,263.46,257.74,200.8,260.74
Hong Kong,10,Standard,6,9559.55,3121.64,2489.12,1707.98,2240.81
Prague,6,Standard,1,522.17,166.93,174.68,102.05,78.51
Dubai,18,Budget,3,3430.38,745.74,1543.36,723.34,417.94
Goa,10,Standard,1,754.86,170.7,251.29,198.58,134.28
Tokyo,11,Luxury,1,4225.63,884.48,1660.19,1114.94,566.03
Bangkok,3,Budget,1,92.94,17.14,41.31,20.2,14.29
Tokyo,9,Luxury,3,9060.98,1585.9,3806.47,1827.51,1841.1
Tokyo,11,Luxury,5,19886.35,3548.4,5820.31,4967.05,5550.59
Bali,19,Luxury,1,3654.84,1240.52,1276.46,756.84,381.03
Delhi,19,Standard,3,4992.18,1529.78,1372.23,1346.05,744.12
Paris,4,Standard,5,3059.27,765.48,1196.91,704.07,392.81
Rome,3,Luxury,5,3633.72,1067.19,1535.35,642.76,388.42
New York,14,Luxury,3,17271.65,4929.86,6476.97,3410.85,2453.98
Singapore,7,Luxury,6,13034.56,3584.18,4749.13,3583.52,1117.73
Kerala,20,Luxury,4,12090.99,3140.9,3718.3,2370.03,2861.76
Prague,8,Budget,1,408.6,96.47,173.9,98.4,39.83
Seoul,3,Luxury,6,4507.41,1286.9,1191.86,814.99,1213.66
Sydney,15,Budget,4,5174.83,1471.18,1948.1,930.69,824.86
Kerala,20,Standard,2,3394.36,579.16,1220.47,1007.59,587.14
Barcelona,20,Budget,2,2782.22,741.29,809.31,634.22,597.4
Sydney,5,Luxury,2,4521.05,1248.44,1627.22,1145.94,499.45
Berlin,9,Luxury,3,6595.9,1089.09,2904.08,1283.52,1319.21
Singapore,5,Luxury,2,3535.46,961.65,1105.12,674.09,794.6
Tokyo,6,Budget,1,622.11,107.88,211.4,150.45,152.37
Singapore,18,Luxury,5,28582.32,8295.39,11033.41,6037.24,3216.28
Bangalore,6,Budget,1,168.22,43.47,73.67,30.8,20.29
Barcelona,16,Budget,2,1960.65,554.86,685.46,512.56,207.77
Jaipur,17,Luxury,4,9013.85,2135.21,3557.67,1364.32,1956.65
Seoul,13,Budget,1,1076.46,205.39,409.92,293.61,167.54
Delhi,3,Luxury,1,485.28,74.33,128.81,139.12,143.03
Berlin,20,Budget,3,4169.29,1121.38,1352.69,833.67,861.56
Jaipur,6,Standard,3,861.37,178.01,350.88,180.56,151.92
Bangkok,16,Budget,3,1806.64,345.51,740.62,361.4,359.11
Paris,7,Standard,1,1281.49,201.2,522.18,271.29,286.83
Berlin,8,Luxury,2,5718.04,1022.83,2326.09,1217.42,1151.71
Singapore,15,Luxury,4,17857.18,4786.56,5920.13,3936.24,3214.26
Seoul,3,Luxury,3,2953.98,596.84,832.72,514.2,1010.22
Dubai,12,Budget,4,2846.8,779.52,1174.99,749.96,142.34
Agra,5,Luxury,4,1697.66,339.52,599.27,391.03,367.84
Bali,15,Budget,6,3371.38,1096.09,1451.19,655.53,168.57
Amsterdam,12,Budget,2,1853.82,483.24,650.0,331.98,388.6
Singapore,12,Budget,1,837.4,183.35,286.7,177.68,189.67
Singapore,17,Budget,5,8426.63,1912.51,2931.42,1807.02,1775.68
Kuala Lumpur,4,Budget,5,632.92,187.65,223.41,110.26,111.6
Paris,19,Standard,6,15279.93,2613.92,4499.51,3482.05,4684.44
Berlin,9,Standard,6,5256.73,1069.85,1667.09,1379.41,1140.38
Seoul,11,Luxury,1,3435.59,993.87,1341.35,603.82,496.55
Jaipur,15,Standard,6,3512.17,931.01,893.6,1024.74,662.83
Goa,9,Budget,2,610.13,183.94,234.22,161.47,30.51
Sydney,3,Budget,1,286.39,77.97,120.7,71.88,15.83
New York,13,Luxury,2,10837.79,3240.18,4231.51,2824.21,541.89
Kerala,11,Luxury,6,13345.65,3364.6,5526.7,2811.73,1642.62
Delhi,13,Luxury,5,11499.1,1760.53,3520.75,2083.56,4134.25
Rome,8,Standard,4,3758.58,700.39,1498.23,1041.84,518.12
Agra,19,Budget,5,2655.2,923.6,786.76,773.68,171.17
Amsterdam,5,Budget,3,675.54,110.79,267.41,162.98,134.36
Kuala Lumpur,6,Standard,3,1174.47,258.37,511.9,242.98,161.22
Tokyo,19,Standard,1,3167.06,478.42,1301.34,842.19,545.1
Delhi,6,Budget,1,253.99,76.29,104.29,57.83,15.58
Bangalore,7,Luxury,3,3122.86,855.96,1244.31,548.01,474.59
Barcelona,8,Luxury,5,9638.13,2612.73,3244.51,2565.14,1215.75
Amsterdam,12,Budget,4,3442.86,842.76,1354.01,656.35,589.74
Rome,10,Luxury,5,13221.93,4383.97,4646.34,2355.99,1835.63
Bangalore,4,Standard,2,441.93,100.12,183.12,110.01,48.68
Bangalore,8,Standard,1,568.26,157.56,178.95,108.21,123.54
Bali,16,Standard,5,7142.95,2006.75,2962.56,1139.09,1034.54
Bali,17,Luxury,4,12882.4,3860.75,5084.15,3293.39,644.12
Paris,7,Budget,6,3345.96,524.43,1424.83,624.05,772.64
Dubai,20,Standard,6,13378.29,3382.57,5314.47,2882.53,1798.73
Vienna,20,Standard,2,4948.4,1454.72,2003.12,1243.14,247.42
Bangkok,14,Luxury,3,9189.06,1937.11,2881.88,2703.18,1666.89
Berlin,13,Luxury,6,15416.94,3276.96,5871.83,2849.09,3419.07
Bangkok,16,Luxury,2,4327.63,763.95,1524.74,652.61,1386.32
New York,12,Budget,3,4201.21,1086.49,1829.12,1075.55,210.06
Berlin,12,Standard,5,5737.66,1476.58,2387.98,1586.21,286.88
Kuala Lumpur,7,Budget,3,674.01,160.83,235.11,188.15,89.91
Amsterdam,16,Standard,3,8213.28,1412.79,3572.85,2010.17,1217.47
Kuala Lumpur,11,Budget,6,2187.01,448.46,615.08,536.67,586.8
London,17,Budget,4,5860.7,1409.98,2577.24,932.38,941.1
Jaipur,13,Budget,4,1434.97,345.79,555.53,411.16,122.48
Seoul,15,Standard,5,11481.85,3197.87,3050.86,2997.74,2235.38
Prague,10,Luxury,5,9404.7,2206.97,2510.24,2266.79,2420.7
Agra,18,Luxury,6,8968.4,2893.2,3831.47,1609.81,633.92
Bali,11,Luxury,3,6494.84,1234.74,1904.58,1647.62,1707.9
Kuala Lumpur,10,Budget,5,1702.11,278.13,757.56,463.9,202.52
Amsterdam,16,Standard,3,6676.6,2055.6,2224.93,1169.86,1226.2
Agra,8,Standard,2,786.61,201.35,351.66,137.58,96.01
Rome,10,Luxury,3,7428.52,1598.99,2301.92,1373.35,2154.25
Amsterdam,19,Luxury,4,21240.07,4080.25,8746.76,3654.1,4758.96
Bangkok,4,Luxury,3,1972.25,518.07,810.12,336.41,307.64
Bangkok,10,Standard,6,4883.84,1164.06,2182.33,1022.46,514.99
Kuala Lumpur,4,Standard,1,275.76,51.88,88.08,64.0,71.8
Prague,17,Budget,2,1800.42,518.37,730.05,461.98,90.02
Agra,20,Standard,5,3554.25,1060.33,1238.7,790.74,464.47
Kerala,5,Luxury,2,1689.64,394.07,596.05,482.38,217.13
Vienna,19,Budget,5,5942.99,1497.81,2360.84,1348.67,735.67
Mumbai,6,Luxury,4,1974.24,557.39,549.32,465.19,402.33
Bali,5,Standard,4,2033.22,504.55,673.63,580.44,274.6
Bangkok,10,Luxury,6,9095.97,2815.63,2942.35,1483.12,1854.88
Bangalore,7,Luxury,6,5001.48,1739.04,1275.62,939.76,1047.07
Bali,9,Standard,6,5348.5,1444.4,1394.37,1104.36,1405.38
Bangalore,6,Standard,1,506.05,132.01,146.7,98.22,129.11
Rome,15,Standard,6,13925.37,4277.35,5124.39,2102.25,2421.38
Hong Kong,18,Budget,2,3143.36,949.56,1108.3,803.48,282.02
Vienna,16,Standard,6,16268.18,4922.4,4214.93,4018.08,3112.77
Kerala,11,Luxury,4,6742.1,1698.81,2361.46,1062.13,1619.71
Agra,3,Standard,1,176.99,32.24,45.13,38.47,61.15
Barcelona,14,Luxury,1,3520.61,1072.65,1524.4,627.98,295.59
Prague,13,Budget,2,1578.68,276.42,638.66,292.91,370.69
Bali,10,Budget,6,2450.95,546.99,768.64,643.16,492.15
Kerala,10,Standard,1,726.17,151.41,229.79,140.93,204.05
Rome,9,Luxury,4,7598.43,2047.46,2892.54,1358.95,1299.47
Tokyo,7,Standard,3,2394.98,796.54,761.49,522.93,314.02
Bangalore,6,Budget,4,851.7,296.41,266.05,171.19,118.05
Rome,3,Luxury,2,1931.14,650.98,554.52,397.58,328.06
London,14,Standard,3,6249.77,1052.91,1765.92,1495.46,1935.48
Seoul,16,Luxury,5,21065.85,4199.09,7250.7,5251.44,4364.62
Agra,5,Standard,5,689.16,119.2,302.06,184.44,83.46
New York,14,Budget,2,3105.37,687.39,1246.79,603.25,567.95
Goa,18,Luxury,1,3071.49,731.05,1216.13,893.91,230.4
Bali,19,Budget,4,3600.84,922.86,1107.58,806.31,764.09
Mumbai,16,Luxury,1,1755.74,321.09,479.87,407.34,547.44
Bangalore,18,Luxury,4,11368.49,3685.63,4539.18,2575.26,568.42
Kuala Lumpur,10,Luxury,2,3325.61,871.7,1458.39,540.11,455.42
Berlin,7,Budget,2,755.73,131.3,337.14,137.7,149.59
Barcelona,18,Luxury,2,12745.99,3795.42,3269.2,3171.3,2510.07
Prague,15,Luxury,3,8577.01,1708.96,2870.81,2307.52,1689.72
Sydney,17,Luxury,2,15160.16,2426.69,3950.03,3847.68,4935.78
Kuala Lumpur,10,Standard,5,2756.37,731.89,887.12,753.96,383.41
Bangalore,8,Standard,3,1844.6,406.12,594.91,499.62,343.96
Bangalore,15,Standard,1,980.61,326.13,356.09,173.96,124.42
Rome,17,Budget,6,8844.11,2674.25,3593.37,1692.44,884.04
Seoul,8,Luxury,5,10697.06,2741.81,2744.14,2367.68,2843.43
Agra,8,Standard,3,1280.86,356.59,563.16,297.06,64.04
Mumbai,15,Standard,4,3744.0,1264.34,1431.54,604.73,443.39
Kerala,18,Luxury,4,9952.69,3114.54,3706.05,2050.44,1081.67
Berlin,3,Standard,3,906.78,258.58,346.05,145.55,156.59
Delhi,6,Standard,3,922.27,143.72,397.91,159.96,220.68
Vienna,5,Standard,6,3387.0,1074.69,880.76,744.1,687.44
Sydney,18,Standard,3,8094.65,1362.12,2533.34,1266.47,2932.71
Bali,9,Budget,4,1850.36,521.08,465.57,539.34,324.37
Mumbai,8,Budget,2,470.27,149.94,163.09,106.81,50.43
Dubai,8,Standard,3,3990.48,1167.49,1553.65,792.72,476.62
Bangalore,7,Budget,6,1519.88,477.37,513.89,258.17,270.45
Singapore,13,Luxury,5,24324.73,6996.01,6666.86,7073.13,3588.72
Kuala Lumpur,17,Standard,5,6905.52,1460.13,2481.1,1467.97,1496.33
Tokyo,18,Budget,1,1778.95,512.48,565.9,481.64,218.93
Hong Kong,5,Standard,4,3616.16,785.16,959.59,669.89,1201.52
Bali,15,Budget,1,724.73,243.0,242.01,114.21,125.52
Berlin,20,Budget,3,3690.55,574.73,1353.14,559.84,1202.84
Prague,17,Luxury,2,4530.76,1562.02,1625.82,866.67,476.25
Delhi,10,Luxury,6,10283.62,1942.47,2762.58,2175.75,3402.82
Berlin,19,Budget,4,4858.0,1056.57,2060.46,789.56,951.4
Goa,12,Standard,5,4154.42,1298.61,1609.88,1038.2,207.72
Delhi,16,Luxury,4,9298.91,2892.77,3738.46,1609.5,1058.18
Agra,8,Budget,4,657.67,152.28,180.93,115.55,208.91
Singapore,15,Standard,3,5792.43,1612.04,1749.12,1638.75,792.52
Agra,6,Luxury,1,654.74,128.33,217.55,121.83,187.03
Delhi,11,Luxury,4,6592.27,1096.99,1694.13,1967.55,1833.6
Vienna,11,Standard,2,3752.86,941.68,1026.24,658.1,1126.84
New York,4,Budget,3,923.69,199.57,335.16,256.4,132.56
Mumbai,13,Luxury,1,1120.08,196.95,302.32,269.35,351.45
Delhi,14,Standard,1,840.01,254.58,252.51,235.06,97.85
Prague,13,Luxury,2,4204.75,1197.38,1763.38,835.27,408.72
Amsterdam,19,Luxury,6,42527.34,11272.8,14281.21,8139.24,8834.09
Hong Kong,12,Budget,4,4641.4,1571.63,1460.94,1156.5,452.32
Singapore,17,Standard,5,10522.3,1835.1,4106.61,1757.39,2823.19
Goa,4,Standard,4,1396.95,302.29,479.25,212.41,403.0
Hong Kong,18,Standard,4,14162.75,4030.28,5592.17,3170.9,1369.39
Tokyo,16,Luxury,2,11039.92,1767.31,4725.93,2611.3,1935.38
Sydney,12,Budget,6,7041.41,1536.38,3052.12,1485.66,967.25
Seoul,6,Standard,5,3433.28,716.42,1219.14,874.37,623.35
London,3,Budget,5,1345.31,281.39,336.63,256.68,470.61
Dubai,10,Budget,3,2146.65,576.79,543.64,556.66,469.56
Goa,15,Budget,6,3554.97,759.53,1524.56,877.14,393.75
Mumbai,13,Luxury,1,814.05,124.33,256.06,189.8,243.87
Mumbai,10,Standard,5,3035.82,767.74,810.6,705.31,752.17
Singapore,15,Standard,5,12184.97,2775.07,3631.85,2001.32,3776.73
Agra,13,Luxury,6,9459.68,2885.74,3991.17,2109.78,472.98
Paris,17,Luxury,1,3196.83,737.0,1229.18,806.65,423.99
Goa,3,Luxury,3,1622.05,282.09,591.28,305.78,442.9
Sydney,8,Luxury,3,10203.6,2794.1,2931.78,1569.86,2907.86
Singapore,15,Luxury,6,24005.63,6246.51,8515.1,4617.23,4626.79
Kuala Lumpur,15,Luxury,4,7490.55,2256.72,2820.91,2038.39,374.53
Kerala,16,Luxury,3,8951.67,1417.19,3129.74,2268.32,2136.42
Mumbai,19,Standard,2,2442.51,441.57,1087.91,565.97,347.07
Agra,17,Standard,3,2936.59,638.59,1287.15,673.82,337.02
Bali,15,Budget,1,750.84,237.75,233.21,221.48,58.4
London,19,Luxury,6,31125.89,8095.67,12699.45,6153.51,4177.26
Berlin,3,Luxury,4,2253.12,412.8,590.82,506.72,742.79
New York,15,Standard,6,17424.01,3963.18,6654.89,3768.9,3037.04
Agra,8,Standard,1,457.6,145.37,163.28,126.06,22.88
Barcelona,12,Standard,1,1899.52,437.44,603.32,321.06,537.69
Bali,6,Standard,1,686.38,188.06,267.44,125.08,105.79
Sydney,20,Standard,1,3137.99,803.31,1210.26,749.72,374.71
Hong Kong,18,Standard,3,7307.79,1317.52,2459.47,1749.13,1781.67
Bangalore,18,Luxury,6,16266.68,5135.19,4327.54,3603.49,3200.45
Prague,6,Standard,2,1321.24,279.3,381.89,332.65,327.39
Kuala Lumpur,15,Standard,6,6712.0,1778.48,2921.63,1676.29,335.6
Paris,7,Standard,4,2604.68,885.87,662.67,774.58,281.57
Bali,3,Luxury,3,1577.49,439.79,514.56,249.53,373.6
New York,13,Luxury,2,8730.96,1978.81,2560.5,1889.26,2302.39
Berlin,20,Luxury,4,22487.42,5867.81,9336.47,5503.09,1780.04
Hong Kong,18,Luxury,6,31660.43,5791.51,10543.72,4817.12,10508.09
Bangalore,15,Budget,6,3218.76,974.44,1141.63,592.3,510.38
Sydney,17,Standard,5,13890.59,2117.87,3869.81,3630.22,4272.68
Delhi,8,Luxury,4,4672.32,1152.47,1525.78,1288.96,705.11
Agra,6,Luxury,3,1125.41,182.78,297.37,265.69,379.58
Vienna,18,Luxury,1,5063.97,808.91,1365.25,793.07,2096.73
Barcelona,19,Standard,5,12477.54,2997.59,3943.88,2974.42,2561.65
Rome,20,Budget,4,6706.49,1228.73,1755.9,1700.83,2021.03
Dubai,20,Luxury,6,39226.03,8881.87,14158.49,6335.54,9850.13
Hong Kong,17,Luxury,1,5145.17,1116.88,1468.52,847.74,1712.03
New York,10,Standard,6,11884.47,3514.61,3720.7,2483.52,2165.63
Vienna,20,Budget,2,3014.83,738.69,1309.9,485.12,481.12
Jaipur,13,Luxury,3,6038.48,2104.43,1800.28,1697.69,436.08
Singapore,14,Budget,1,1349.46,367.67,341.87,241.85,398.08
Prague,3,Luxury,3,1801.01,458.14,474.74,319.11,549.03
Dubai,5,Standard,2,1284.37,366.24,480.0,302.19,135.94
Singapore,15,Luxury,6,35414.59,5390.66,14025.41,8349.64,7648.89
Rome,11,Budget,1,656.91,194.56,256.29,156.58,49.48
Vienna,20,Luxury,1,4417.49,1242.11,1280.03,871.36,1024.0
Prague,17,Standard,3,5419.42,1424.11,1637.92,1377.85,979.54
Vienna,10,Budget,5,3172.35,785.59,877.59,600.21,908.97
Bali,11,Budget,2,716.75,212.82,182.62,170.39,150.92
Rome,5,Luxury,1,1393.22,234.46,522.65,324.04,312.08
Seoul,5,Budget,6,1676.68,417.33,459.98,399.41,399.96
Goa,18,Standard,6,9742.48,3240.43,3550.4,1725.57,1226.08
Tokyo,20,Luxury,2,18224.83,4882.99,4801.8,5006.93,3533.12
Berlin,12,Luxury,2,4577.07,1160.81,1340.16,881.05,1195.04
Agra,11,Budget,4,1320.59,409.03,576.51,202.08,132.98
New York,7,Budget,5,4120.85,1083.45,1576.66,1037.88,422.87
Vienna,15,Standard,2,3667.46,1018.44,1151.39,581.54,916.08
Bali,5,Luxury,5,4286.85,761.45,1808.29,964.58,752.53
Prague,12,Budget,4,2685.05,570.63,891.8,487.21,735.41
Rome,16,Luxury,2,10016.13,3026.36,3982.47,2506.49,500.81
Jaipur,19,Luxury,5,13443.04,3562.57,3916.81,3033.67,2929.99
New York,13,Standard,6,17693.47,3762.58,6674.22,3711.07,3545.61
Kerala,17,Standard,6,8293.91,1858.22,3319.69,2360.03,755.98
Kuala Lumpur,19,Standard,3,4035.34,1377.09,1312.84,810.64,534.76
Hong Kong,10,Luxury,3,8432.16,2628.85,3584.49,1647.39,571.42
Vienna,12,Luxury,2,5197.25,1064.08,2247.1,855.6,1030.46
Bangkok,19,Budget,6,4669.77,812.5,1458.9,1262.52,1135.86
Bangkok,16,Budget,3,2557.21,870.67,807.48,637.63,241.43
Rome,18,Luxury,6,34909.62,9968.25,10489.05,9808.08,4644.23
Singapore,10,Budget,3,2714.03,927.91,796.68,442.99,546.44
Kuala Lumpur,13,Budget,2,726.46,213.63,255.87,174.82,82.13
New York,18,Budget,3,5571.4,1626.17,1510.3,1536.75,898.19
Goa,19,Budget,4,2779.28,643.56,1187.52,436.57,511.64
Bangkok,17,Luxury,2,5711.41,1577.92,1736.91,1069.85,1326.73
Delhi,11,Budget,2,709.41,126.17,178.87,164.33,240.04
Paris,17,Standard,4,12268.87,3134.85,3488.28,2148.51,3497.23
Sydney,8,Budget,6,4706.94,1266.51,1567.55,1004.13,868.75
Bali,5,Standard,5,2060.4,647.07,782.44,438.55,192.35
Bangalore,4,Standard,4,780.89,210.22,350.74,168.12,51.82
Agra,11,Luxury,5,5619.68,1072.51,1875.51,1028.09,1643.57
Barcelona,6,Luxury,6,10032.26,1841.55,2749.57,1606.57,3834.57
Jaipur,3,Luxury,1,396.7,115.48,123.59,73.92,83.71
Berlin,3,Luxury,4,3212.92,1071.73,872.65,594.05,674.49
Jaipur,19,Standard,5,4998.51,830.92,1701.69,1303.93,1161.97
Berlin,12,Luxury,1,2999.82,734.32,1331.95,783.56,149.99
Singapore,3,Standard,4,1793.98,625.07,756.18,295.3,117.44
Bali,16,Standard,1,1583.58,344.37,657.98,237.68,343.54
Paris,19,Standard,1,2613.63,514.14,689.05,465.4,945.04
Hong Kong,5,Luxury,6,10924.82,3616.77,3808.3,2179.76,1320.0
Tokyo,18,Budget,2,3093.54,648.19,957.8,612.71,874.84
Hong Kong,16,Luxury,6,26186.68,5636.85,6655.39,6916.76,6977.68
Paris,8,Budget,5,3675.58,677.69,1269.2,958.16,770.54
Goa,10,Luxury,2,3953.54,1214.86,1556.94,984.06,197.68
Kuala Lumpur,14,Luxury,5,9900.9,2047.87,3047.43,2045.11,2760.48
London,16,Standard,3,6603.86,1581.23,2746.97,1639.14,636.52
Barcelona,17,Budget,5,6497.96,1496.48,2655.23,1189.62,1156.63
Paris,15,Luxury,4,20151.89,3489.59,7883.24,4545.32,4233.73
Paris,8,Luxury,6,15373.6,3776.24,6204.69,3755.54,1637.12
Tokyo,11,Budget,1,1165.51,190.92,369.42,229.67,375.5
Bangkok,12,Luxury,2,4117.0,1108.68,1699.81,853.53,454.98
Bangalore,12,Budget,3,1112.33,309.85,411.77,282.99,107.72
Delhi,19,Standard,6,6753.08,1649.52,2326.46,1396.09,1381.02
Jaipur,15,Luxury,1,1500.31,241.77,558.06,279.24,421.24
Bangkok,15,Budget,6,4219.41,884.37,1130.6,1209.38,995.06
Tokyo,11,Budget,4,4149.8,1356.55,1497.24,955.22,340.79
Jaipur,18,Standard,4,5391.54,1796.99,1701.4,1109.65,783.51
Bangalore,6,Budget,2,588.71,156.48,153.6,116.04,162.6
Delhi,16,Budget,4,2261.74,621.63,940.6,403.83,295.66
Paris,19,Standard,4,12584.79,2748.14,4237.79,3489.39,2109.47
New York,9,Budget,6,5871.88,1687.6,2325.1,1565.58,293.59
Paris,12,Budget,6,5281.05,1583.22,1697.31,1294.98,705.54
Goa,11,Luxury,6,13632.94,3532.83,3964.63,2641.88,3493.59
Hong Kong,5,Budget,4,1096.95,299.06,450.98,213.85,133.06
Prague,15,Budget,6,4980.27,998.22,1690.03,839.26,1452.76
Goa,12,Standard,1,760.86,173.12,211.27,198.37,178.09
Agra,16,Luxury,3,3949.75,981.4,1541.09,1099.34,327.92
Mumbai,4,Luxury,4,1755.44,578.38,480.77,349.64,346.64
Singapore,10,Standard,3,4632.68,1009.93,1963.93,756.15,902.67
Goa,7,Luxury,3,3756.45,1119.32,1531.9,630.58,474.65
New York,8,Budget,1,734.93,186.39,293.68,202.46,52.4
Bangkok,5,Standard,6,2723.33,513.55,731.33,625.91,852.54
Amsterdam,19,Standard,1,2390.26,737.1,985.54,531.45,136.16
Sydney,15,Standard,2,6581.0,2092.12,2405.74,1754.1,329.05
Bangalore,4,Standard,6,1302.96,245.48,499.47,317.28,240.72
Prague,4,Budget,2,414.57,78.57,170.4,73.74,91.86
Amsterdam,16,Budget,6,5281.42,1584.38,2170.79,900.62,625.63
Sydney,9,Luxury,1,3815.05,600.27,1316.02,764.72,1134.04
Kuala Lumpur,8,Standard,1,487.86,134.02,128.12,96.93,128.79
Seoul,8,Budget,5,2656.12,650.95,1079.98,697.29,227.89
Agra,12,Standard,6,2646.59,835.25,861.73,786.5,163.11
Hong Kong,4,Luxury,1,1506.09,304.96,503.55,234.93,462.65
New York,20,Luxury,5,38724.53,10230.3,12255.75,7641.51,8596.97
Prague,12,Budget,4,2654.54,549.28,938.22,735.91,431.13
Jaipur,18,Budget,1,762.64,128.98,254.59,127.36,251.71
Jaipur,18,Budget,5,2269.22,574.25,613.76,596.27,484.93
Tokyo,14,Luxury,4,17558.22,4504.83,7411.91,4463.96,1177.51
Dubai,14,Luxury,6,21751.6,6799.78,7921.41,5942.83,1087.58
Vienna,16,Budget,2,2719.34,867.45,938.89,681.09,231.9
New York,17,Luxury,4,26534.04,5178.33,9905.8,4140.64,7309.27
Bali,15,Budget,1,839.01,291.08,244.84,142.26,160.83
Goa,6,Standard,5,1855.58,292.22,651.44,390.52,521.4
Agra,5,Standard,5,1081.37,373.5,310.77,234.43,162.67
Vienna,16,Standard,3,6133.78,1327.56,2393.17,1624.21,788.84
Kerala,13,Standard,1,1074.56,211.82,335.33,225.52,301.9
Singapore,12,Luxury,4,14113.66,3260.67,4203.09,3448.4,3201.49
Barcelona,20,Budget,3,3965.28,1346.36,1164.82,788.83,665.28
Barcelona,6,Standard,5,3265.74,974.74,965.57,518.5,806.93
Dubai,12,Standard,1,2213.42,406.39,710.42,464.81,631.8
Seoul,16,Luxury,2,9698.41,1605.05,2972.2,2306.23,2814.93
Kuala Lumpur,19,Standard,6,7259.82,1144.73,2349.64,2155.11,1610.34
Kerala,4,Luxury,1,699.41,216.29,295.46,152.69,34.97
Prague,6,Standard,3,2018.12,584.11,538.12,563.95,331.94
Kuala Lumpur,14,Budget,5,2813.89,536.89,1168.59,657.47,450.94
Delhi,18,Luxury,5,12189.62,2807.75,4273.07,3363.34,1745.46
Kerala,15,Standard,2,2419.23,709.02,1075.72,435.97,198.52
Hong Kong,6,Budget,3,1228.55,413.14,389.45,364.53,61.43
Amsterdam,15,Budget,5,4532.39,998.83,1772.72,1034.44,726.39
Paris,9,Budget,6,4105.59,767.17,1058.72,629.29,1650.41
Dubai,10,Standard,6,6126.31,1607.47,1668.73,1479.05,1371.07
Berlin,6,Budget,2,736.78,147.48,259.29,210.96,119.04
Sydney,18,Standard,6,10669.74,2195.18,4713.62,1829.03,1931.91
Jaipur,8,Luxury,1,1042.25,214.5,344.98,312.49,170.29
New York,5,Standard,1,1253.5,277.71,329.4,202.0,444.39
Prague,4,Budget,5,942.19,230.31,369.88,196.86,145.14
Bali,19,Budget,1,813.9,164.02,276.72,206.68,166.48
Bangalore,9,Budget,2,632.34,131.21,226.15,145.44,129.54
London,6,Budget,6,2822.43,590.13,756.73,706.17,769.4
Jaipur,13,Budget,3,1117.66,170.7,479.64,172.5,294.82
Barcelona,5,Luxury,6,7098.15,2066.26,2040.72,1863.9,1127.27
Amsterdam,9,Luxury,4,12579.29,3177.18,5270.21,2037.1,2094.79
Jaipur,9,Luxury,1,1251.24,333.61,492.49,257.51,167.63
Jaipur,11,Standard,3,2039.04,598.73,560.5,489.25,390.56
Jaipur,16,Budget,4,2173.59,466.45,929.87,378.41,398.86
Mumbai,18,Standard,4,4641.47,910.02,1259.15,1268.34,1203.95
Hong Kong,9,Budget,1,774.77,236.98,274.65,190.71,72.42
Bangalore,11,Luxury,3,5725.3,1554.22,1532.75,1440.09,1198.24
Bangkok,8,Standard,5,2804.34,892.69,718.11,775.6,417.94
Jaipur,5,Luxury,6,3968.96,1132.86,1086.72,636.38,1113.01
Goa,9,Budget,5,1515.13,315.06,451.13,275.8,473.13
Dubai,11,Standard,3,4707.5,1185.48,1308.05,1317.79,896.19
Seoul,5,Luxury,3,2835.21,831.63,912.18,539.17,552.24
Hong Kong,6,Budget,6,2823.85,900.73,909.1,714.67,299.35
Rome,5,Budget,1,278.18,80.3,112.18,54.42,31.28
Kuala Lumpur,5,Luxury,4,2415.22,577.88,954.99,613.32,269.04
Sydney,11,Budget,1,1214.9,404.59,341.72,319.24,149.36
Goa,5,Budget,3,744.37,150.47,263.25,192.29,138.36
Bali,12,Standard,4,3896.27,765.9,1357.46,765.76,1007.16
